date,time,devname,devid,eventtime,tz,logid,type,subtype,level,vd,srcip,srcport,srcintf,srcintfrole,dstip,dstport,dstintf,dstintfrole,srccountry,dstcountry,sessionid,proto,action,policyid,policytype,poluuid,user,group,service,appid,app,appcat,apprisk,applist,agent,direction,eventtype,hostname,httpmethod,incidentserialno,msg,scertcname,scertissuer,url
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801719471058,+0700,1059028704,utm,app-ctrl,information,root,100.101.96.146,37798,port16,lan,118.99.92.77,443,port2,wan,Reserved,Indonesia,3233226382,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1117,WHS-OPERATOR,HTTPS,15895,SSL,Network.Service,elevated,WHS-Block,,outgoing,signature,,,886304237,Network.Service:,,,
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801722739497,+0700,1059028704,utm,app-ctrl,information,root,100.101.96.146,37798,port16,lan,118.99.92.77,443,port2,wan,Reserved,Indonesia,3233226382,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1117,WHS-OPERATOR,SSL,42533,Google.Services,General.Interest,elevated,WHS-Block,,outgoing,signature,rr2---sn-cp1oxu-n0ce.gvt1.com,,886304238,General.Interest:,*.googlevideo.com,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801722779020,+0700,1059028705,utm,app-ctrl,warning,root,100.101.96.146,37798,port16,lan,118.99.92.77,443,port2,wan,Reserved,Indonesia,3233226382,6,block,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1117,WHS-OPERATOR,SSL,31077,YouTube,Video/Audio,elevated,WHS-Block,,incoming,signature,rr2---sn-cp1oxu-n0ce.gvt1.com,,886304240,Video/Audio:,,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801454558892,+0700,1059028705,utm,app-ctrl,warning,root,100.101.102.122,41686,port16,lan,31.13.95.1,443,port1,wan,Reserved,Indonesia,3233225707,6,block,93,policy,36cb83c2-7f01-51ef-c289-05b8d019f669,5015,WHS-SUPERVISOR,SSL,15832,Facebook,Social.Media,medium,BLOKIR,,outgoing,signature,web.facebook.com,,886304230,Social.Media:,,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802039688464,+0700,1059028705,utm,app-ctrl,warning,root,100.101.102.7,49318,port16,lan,118.98.30.141,443,port2,wan,Reserved,Indonesia,3233226414,17,block,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,TR010,WHS-OPERATOR,HTTPS,40169,QUIC,Network.Service,low,WHS-Block,,outgoing,signature,,,886304253,Network.Service:,,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802072981645,+0700,1059028704,utm,app-ctrl,information,root,100.101.98.22,60968,port16,lan,31.13.95.40,443,port1,wan,Reserved,Indonesia,3233226544,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,TR009,WHS-OPERATOR,SSL,15895,SSL,Network.Service,elevated,WHS-Block,,outgoing,signature,,,886304254,Network.Service:,,,
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802222115092,+0700,1059028704,utm,app-ctrl,information,root,192.168.1.72,52680,port11,lan,202.6.208.46,443,port1,wan,Reserved,Indonesia,3233226610,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,15895,SSL,Network.Service,elevated,BLOKIR,,outgoing,signature,vpn.klikbca.com,,886304258,Network.Service:,vpn.klikbca.com,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802222164247,+0700,1059028704,utm,app-ctrl,information,root,192.168.1.72,52680,port11,lan,202.6.208.46,443,port1,wan,Reserved,Indonesia,3233226610,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,47013,SSL_TLSv1.3,Network.Service,medium,BLOKIR,,incoming,signature,vpn.klikbca.com,,886304262,Network.Service:,,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801544867164,+0700,1059028705,utm,app-ctrl,warning,root,100.101.99.39,56706,port16,lan,34.95.101.116,443,port2,wan,Reserved,United,3233223499,17,block,96,policy,460748da-8159-51ef-3997-37c5ecc09007,4290,WHS-STAFF,HTTPS,40169,QUIC,Network.Service,low,BLOK-IT,,outgoing,signature,,,886304233,Network.Service:,,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801603488513,+0700,1059028705,utm,app-ctrl,warning,root,100.101.99.39,56097,port16,lan,34.54.11.188,443,port2,wan,Reserved,United,3233223547,17,block,96,policy,460748da-8159-51ef-3997-37c5ecc09007,4290,WHS-STAFF,HTTPS,40169,QUIC,Network.Service,low,BLOK-IT,,outgoing,signature,,,886304235,Network.Service:,,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801737284028,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.43,40337,port16,lan,36.92.232.81,443,port2,wan,Reserved,Indonesia,3233221059,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1053,WHS-OPERATOR,SSL,42533,Google.Services,General.Interest,elevated,WHS-Block,,outgoing,signature,rr6---sn-2uuxa3vh-n0cd.gvt1.com,,886304161,General.Interest:,*.googlevideo.com,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801737342477,+0700,1059028705,utm,app-ctrl,warning,root,100.101.97.43,40337,port16,lan,36.92.232.81,443,port2,wan,Reserved,Indonesia,3233221059,6,block,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1053,WHS-OPERATOR,SSL,31077,YouTube,Video/Audio,elevated,WHS-Block,,incoming,signature,rr6---sn-2uuxa3vh-n0cd.gvt1.com,,886304243,Video/Audio:,,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802459179618,+0700,1059028704,utm,app-ctrl,information,root,100.101.99.39,43530,port16,lan,3.1.182.231,443,port2,wan,Reserved,Singapore,3233226758,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,4290,WHS-STAFF,SSL,15895,SSL,Network.Service,elevated,BLOK-IT,,outgoing,signature,obus-sg.dc.heytapmobile.com,,886304268,Network.Service:,*.heytapmobile.com,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802459188369,+0700,1059028704,utm,app-ctrl,information,root,100.101.99.39,43530,port16,lan,3.1.182.231,443,port2,wan,Reserved,Singapore,3233226758,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,4290,WHS-STAFF,SSL,41540,SSL_TLSv1.2,Network.Service,medium,BLOK-IT,,incoming,signature,obus-sg.dc.heytapmobile.com,,886304270,Network.Service:,*.heytapmobile.com,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802150758866,+0700,1059028704,utm,app-ctrl,information,root,100.101.102.42,47318,port16,lan,34.96.106.127,443,port2,wan,Reserved,United,3233226543,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,partroompb1,WHS-OPERATOR,SSL,15895,SSL,Network.Service,elevated,WHS-Block,,outgoing,signature,,,886304255,Network.Service:,,,
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802256911583,+0700,1059028704,utm,app-ctrl,information,root,192.168.1.72,52677,port11,lan,202.6.208.46,443,port2,wan,Reserved,Indonesia,3233226606,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,15895,SSL,Network.Service,elevated,BLOKIR,,outgoing,signature,vpn.klikbca.com,,886304259,Network.Service:,vpn.klikbca.com,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802256957838,+0700,1059028704,utm,app-ctrl,information,root,192.168.1.72,52677,port11,lan,202.6.208.46,443,port2,wan,Reserved,Indonesia,3233226606,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,47013,SSL_TLSv1.3,Network.Service,medium,BLOKIR,,incoming,signature,vpn.klikbca.com,,886304264,Network.Service:,,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802301121608,+0700,1059028704,utm,app-ctrl,information,root,100.101.99.39,46287,port16,lan,216.239.35.12,123,port1,wan,Reserved,United,3233226690,17,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,4290,WHS-STAFF,NTP,16270,NTP,Network.Service,elevated,BLOK-IT,,outgoing,signature,,,886304266,Network.Service:,,,
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802534887749,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.60,33108,port16,lan,142.251.10.94,80,port1,wan,Reserved,United,3233226790,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1063,WHS-OPERATOR,HTTP,42533,Google.Services,General.Interest,elevated,WHS-Block,Mozilla/5.0,outgoing,signature,connectivitycheck.gstatic.com,GET,886304273,General.Interest:,,,/generate_204
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802503493336,+0700,1059028704,utm,app-ctrl,information,root,100.101.102.7,47564,port16,lan,118.98.30.141,443,port2,wan,Reserved,Indonesia,3233226418,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,TR010,WHS-OPERATOR,SSL,42533,Google.Services,General.Interest,elevated,WHS-Block,,outgoing,signature,rr2---sn-2uuxa3vh-n0cs.gvt1.com,,886304250,General.Interest:,*.googlevideo.com,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802503543367,+0700,1059028705,utm,app-ctrl,warning,root,100.101.102.7,47564,port16,lan,118.98.30.141,443,port2,wan,Reserved,Indonesia,3233226418,6,block,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,TR010,WHS-OPERATOR,SSL,31077,YouTube,Video/Audio,elevated,WHS-Block,,incoming,signature,rr2---sn-2uuxa3vh-n0cs.gvt1.com,,886304271,Video/Audio:,,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802555672813,+0700,1059028704,utm,app-ctrl,information,root,100.101.100.86,46574,port16,lan,34.101.240.78,443,port1,wan,Reserved,Indonesia,3233226792,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,1760,WHS-STAFF,SSL,15895,SSL,Network.Service,elevated,BLOK-IT,,outgoing,signature,ws-coin.ajaib.co.id,,886304272,Network.Service:,,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802555723709,+0700,1059028704,utm,app-ctrl,information,root,100.101.100.86,46574,port16,lan,34.101.240.78,443,port1,wan,Reserved,Indonesia,3233226792,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,1760,WHS-STAFF,SSL,47013,SSL_TLSv1.3,Network.Service,medium,BLOK-IT,,incoming,signature,ws-coin.ajaib.co.id,,886304275,Network.Service:,,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803101221944,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.48,49221,port11,lan,104.18.11.101,443,port1,wan,Reserved,United,3233227042,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,15895,SSL,Network.Service,elevated,BLOKIR,,outgoing,signature,trade.ajaib.co.id,,886304312,Network.Service:,*.ajaib.co.id,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802421408242,+0700,1059028704,utm,app-ctrl,information,root,100.101.100.86,46562,port16,lan,34.101.240.78,443,port1,wan,Reserved,Indonesia,3233226759,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,1760,WHS-STAFF,SSL,15895,SSL,Network.Service,elevated,BLOK-IT,,outgoing,signature,ws-coin.ajaib.co.id,,886304267,Network.Service:,,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802582860709,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.60,41126,port16,lan,142.251.10.94,443,port2,wan,Reserved,United,3233226791,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1063,WHS-OPERATOR,SSL,42533,Google.Services,General.Interest,elevated,WHS-Block,,outgoing,signature,connectivitycheck.gstatic.com,,886304274,General.Interest:,*.gstatic.com,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802677451284,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.186,41104,port16,lan,31.13.95.40,443,port2,wan,Reserved,Indonesia,3233226631,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,TR001,WHS-OPERATOR,SSL,15895,SSL,Network.Service,elevated,WHS-Block,,outgoing,signature,,,886304279,Network.Service:,,,
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802664727407,+0700,1059028704,utm,app-ctrl,information,root,192.168.40.181,53223,port11,lan,52.123.129.14,443,port2,wan,Reserved,United,3233226830,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,HTTPS,15895,SSL,Network.Service,elevated,BLOKIR,,outgoing,signature,,,886304276,Network.Service:,,,
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802664880596,+0700,1059028704,utm,app-ctrl,information,root,192.168.40.181,53223,port11,lan,52.123.129.14,443,port2,wan,Reserved,United,3233226830,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,43540,Skype.Portals,Collaboration,elevated,BLOKIR,,outgoing,signature,edge.skype.com,,886304277,Collaboration:,edge.skype.com,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803176449978,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.112,64393,port16,lan,112.78.159.50,443,port2,wan,Reserved,Indonesia,3233227110,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,9685,WHS-STAFF,SSL,15895,SSL,Network.Service,elevated,BLOK-IT,,outgoing,signature,p.typekit.net,,886304314,Network.Service:,use.typekit.net,,/
2025-09-24,07:10:02,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697802933636328,+0700,1059028705,utm,app-ctrl,warning,root,100.101.103.68,36611,port16,lan,34.117.67.69,443,port2,wan,Reserved,United,3233225425,17,block,96,policy,460748da-8159-51ef-3997-37c5ecc09007,2291,WHS-STAFF,HTTPS,40169,QUIC,Network.Service,low,BLOK-IT,,outgoing,signature,,,886304294,Network.Service:,,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803252520708,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.40,61598,port11,lan,31.13.95.60,5222,port1,wan,Reserved,Indonesia,3233227148,6,pass,45,policy,9aded882-c57f-51ee-e642-9c85917170af,,,SSL,39999,WhatsApp_Web,Collaboration,elevated,BLOKIR,,outgoing,signature,web.whatsapp.com,,886304324,Collaboration:,*.whatsapp.net,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803525169712,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.112,64390,port16,lan,50.16.47.176,443,port1,wan,Reserved,United,3233227036,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,9685,WHS-STAFF,SSL,30061,Adobe.Web,General.Interest,elevated,BLOK-IT,,outgoing,signature,p13n.adobe.io,,886304304,General.Interest:,adobe.io,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803905224598,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.51,39970,port16,lan,8.8.4.4,443,port2,wan,Reserved,United,3233227370,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1013,WHS-OPERATOR,SSL,47816,DNS.Over.HTTPS,Network.Service,medium,WHS-Block,,outgoing,signature,dns.google,,886304351,Network.Service:,dns.google,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803548917936,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.112,64394,port16,lan,23.214.169.20,443,port1,wan,Reserved,Indonesia,3233227289,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,9685,WHS-STAFF,HTTPS,15895,SSL,Network.Service,elevated,BLOK-IT,,outgoing,signature,,,886304336,Network.Service:,,,
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803619258224,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.112,64394,port16,lan,23.214.169.20,443,port1,wan,Reserved,Indonesia,3233227289,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,9685,WHS-STAFF,SSL,38993,Acrobat.Cloud,Storage.Backup,medium,BLOK-IT,,outgoing,signature,acrobat.adobe.com,,886304337,Storage.Backup:,static.adobesigncdn.com,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803708521871,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.48,49224,port11,lan,74.125.130.94,443,port1,wan,Reserved,United,3233227325,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,42533,Google.Services,General.Interest,elevated,BLOKIR,,outgoing,signature,ssl.gstatic.com,,886304340,General.Interest:,*.gstatic.com,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803728209108,+0700,1059028704,utm,app-ctrl,information,root,100.101.102.42,47370,port16,lan,34.96.106.127,443,port1,wan,Reserved,United,3233227307,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,partroompb1,WHS-OPERATOR,SSL,15895,SSL,Network.Service,elevated,WHS-Block,,outgoing,signature,,,886304341,Network.Service:,,,
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803604431241,+0700,1059028705,utm,app-ctrl,warning,root,100.101.99.167,33492,port16,lan,31.13.95.40,443,port2,wan,Reserved,Indonesia,3233227297,6,block,93,policy,36cb83c2-7f01-51ef-c289-05b8d019f669,9550,WHS-SUPERVISOR,SSL,15832,Facebook,Social.Media,medium,BLOKIR,,outgoing,signature,z-m-gateway.facebook.com,,886304338,Social.Media:,,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803956738680,+0700,1059028704,utm,app-ctrl,information,root,100.101.99.28,43248,port16,lan,74.125.200.95,443,port2,wan,Reserved,United,3233227345,6,pass,95,policy,c0949338-8158-51ef-2d9f-f56e9a798625,nakami,WHS-JAPAN,SSL,43714,Google.Push.Notification,General.Interest,low,default,,outgoing,signature,notifications-pa.googleapis.com,,886304350,General.Interest:,upload.video.google.com,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803980558387,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.48,49225,port11,lan,74.125.130.94,443,port2,wan,Reserved,United,3233227405,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,42533,Google.Services,General.Interest,elevated,BLOKIR,,outgoing,signature,ssl.gstatic.com,,886304354,General.Interest:,*.gstatic.com,,/
2025-09-24,07:10:03,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697803808898283,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.43,49566,port16,lan,36.92.232.82,443,port2,wan,Reserved,Indonesia,3233221644,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,HPP1053,WHS-OPERATOR,HTTPS,15895,SSL,Network.Service,elevated,WHS-Block,,outgoing,signature,,,886304344,Network.Service:,,,
2025-09-24,07:10:04,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697804651026575,+0700,1059028704,utm,app-ctrl,information,root,100.101.100.215,35534,port16,lan,142.250.201.174,443,port2,wan,Reserved,United,3233227480,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,TABP23,WHS-OPERATOR,SSL,42533,Google.Services,General.Interest,elevated,WHS-Block,,outgoing,signature,safebrowsing.google.com,,886304367,General.Interest:,*.google.com,,/
2025-09-24,07:10:04,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697804692122360,+0700,1059028704,utm,app-ctrl,information,root,192.168.1.159,61180,port11,lan,202.169.45.233,443,port2,wan,Reserved,Indonesia,3233228366,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,41469,Microsoft.Portal,Collaboration,elevated,BLOKIR,,outgoing,signature,assets.msn.com,,886304401,Collaboration:,*.msn.com,Microsoft,/
2025-09-24,07:10:04,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697804961082089,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.48,49236,port11,lan,172.217.194.95,443,port2,wan,Reserved,United,3233228438,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,42533,Google.Services,General.Interest,elevated,BLOKIR,,outgoing,signature,safebrowsing.googleapis.com,,886304417,General.Interest:,upload.video.google.com,,/
2025-09-24,07:10:04,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697804968426043,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.48,49237,port11,lan,142.251.12.95,443,port2,wan,Reserved,United,3233228450,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,42533,Google.Services,General.Interest,elevated,BLOKIR,,outgoing,signature,drivefrontend-pa.clients6.google.com,,886304418,General.Interest:,*.googleapis.com,,/
2025-09-24,07:10:04,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697804344614018,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.112,64396,port16,lan,202.169.44.80,443,port2,wan,Reserved,Indonesia,3233227654,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,9685,WHS-STAFF,HTTPS,15895,SSL,Network.Service,elevated,BLOK-IT,,outgoing,signature,,,886304369,Network.Service:,,,
2025-09-24,07:10:04,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697804404786237,+0700,1059028705,utm,app-ctrl,warning,root,100.101.102.109,38952,port16,lan,71.18.222.1,443,port2,wan,Reserved,United,3233227672,6,block,96,policy,460748da-8159-51ef-3997-37c5ecc09007,2403,WHS-STAFF,SSL,53531,CapCut,GenAI,medium,BLOK-IT,,outgoing,signature,passport32-normal-sg.capcutapi.com,,886304373,GenAI:,,,/
